word,definition
abac,Instrument alcatuit dintr-un cadru cu vergele pe care se pot deplasa bile (colorate) si care este folosit la efectuarea unor calcule aritmetice. 
abate,Titlu onorific acordat unor preoti catolici.
abces,"Acumulare de puroi, bine delimitata de tesuturile din jur printr-o membrana de tesut conjunctiv."
aberatie,Abatere de la ceea ce este normal sau corect.
abdica,A renunta la tron.
abagiu,Persoana care se ocupa cu fabricarea (confectionarea) sau cu vanzarea abalei.
abatie,"Manastire catolica cu statut special (impreuna cu averea, domeniile ei), condusa de un abate sau o abatesa si care depinde de un episcop sau direct de papa."
abdicare,Actiunea de a abdica; renuntare la tron.
abductie,Miscare (efectuata de un muschi abductor) prin care se indeparteaza un membru sau un segment al acestuia de axul median al corpului.
abductor,(Despre muschi) Care produce sau a suferit o abductie.
abductori,(Despre muschi) Care produce sau a suferit o abductie.
aberoscoap,Instrument care serveste la observarea defectului de distorsiune pe care il prezinta un ochi anormal.
abil,"Destoinic, dibaci, iscusit, priceput, indemanatic."
abhora,"A avea ura, dezgust, oroare, aversiune fata de cineva sau de ceva."
abilitat,"Caruia i s-a conferit un grad, o imputernicire oficiala."
abiotic,"Lipsit de viata, incompatibil cu viata."
abis,Prapastie adanca; hau.
abject,Care comite fapte reprobabile.
ablatie,"Indepartare chirurgicala a unui organ, a unui membru al corpului omenesc, a unei tumori etc"
abnega,"A tagadui, a nega, a renunta la cineva sau ceva."
abolire,"Actiunea de a aboli (A desfiinta o institutie, o stare sau anumite uzante; a anula in mod legal si oficial o lege, o hotarare etc.) si rezultatul ei."
abominabil,"Cutremurator, dezgustator, groaznic, oribil, repugnant, rau, urat, infiorator, inspaimantator."
abreviativ,"Care indica o prescurtare, care abreviaza."
abstract,"Care este detasat de obiecte, de fenomene sau de relatiile in care exista in realitate."
aburcare,Urcare
acadian,A doua perioada a cambrianului.
acar,"Cutiuta de pastrat ace, ata si alte obiecte necesare la cusut."
accesiune,"Mod de dobandire a proprietatii rezultand din alipirea naturala sau prin interventia omului a unui bun la un alt bun mai important, apartinand altei persoane."
acefal,Fara cap.
aclimatizare,"A (se) adapta, a (se) acomoda la un nou climat."
acrofobie,Teama patologica de locuri inalte.
acumetru,Aparat cu ajutorul caruia se masoara acuitatea auditiva.
acurat,Lucrat cu ingrijire.
acvifer,Care contine apa.
adagiu,"Aforism, apoftegma, cugetare, dicton, maxima, sentinta."
adamism,"Orientare in cadrul akmeismului, care manifesta preferinta pentru elementul biologic primitiv."
adenina,"Substanta din clasa purinelor, care intra ca baza azotata in compozitia acizilor adenozin-fosforici si a acizilor nucleici."
adenom,"Tumoare glandulara benigna, constituita din celule epiteliale."
adet,"Datina, obicei."
