word,definition
abac,Instrument alcatuit dintr-un cadru cu vergele pe care se pot deplasa bile (colorate) si care este folosit la efectuarea unor calcule aritmetice. 
abces,"Acumulare de puroi, bine delimitata de tesuturile din jur printr-o membrana de tesut conjunctiv."
abraziv,Care are proprietatea de a roade prin frecare.
absorbi,"A suge, a inghiti, a incorpora o substanta etc."
acut,"Ascutit, puternic, patrunzator."
adaos,Ceea ce se adauga la ceva.
adora,"A iubi cu pasiune, a avea un cult pentru cineva sau ceva."
aerian,"Care se afla in aer, care se intampla, se produce in aer."
afectiv,"Care apartine afectivitatii, privitor la sentimente."
afina,"Fructul comestibil al afinului in forma de bobita neagra-albastruie, brumata, cu gust acrisor."
agent,"Reprezentant (oficial) al unei institutii, al unei organizatii, al unui stat etc., care indeplineste anumite insarcinari."
alama,"Aliaj de cupru si zinc, galben-auriu, maleabil, ductil, usor de prelucrat, cu numeroase si variate intrebuintari in industrie."
alpin,Care apartine sau care este caracteristic muntilor Alpi.
aluzie,"Cuvant, expresie, fraza prin care se face o referire la o persoana, la o situatie, la o idee, fara a o exprima direct."
amurg,Semiintuneric care se lasa dupa apusul Soarelui si tine pana la venirea noptii.
ancora,A fixa o nava sau un corp plutitor de fundul apei cu ajutorul unei ancore.
anemie,Boala determinata de scaderea cantitativa sau calitativa a globulelor rosii si a hemoglobinei din sange.
anxios,"Nelinistit, incordat, ingrijorat."
aport,Strigat cu care se indeamna un caine sa aduca vanatul impuscat sau un obiect aruncat.
arid,Uscat.
asfalt,"Amestec de bitum cu materiale minerale, intrebuintat mai ales la pavarea drumurilor."
axila,"Subrat, subsuoara, sumana."
baron,"Titlu nobiliar in ierarhia feudala, superior cavalerului si inferior vicontelui; persoana care are acest titlu."
berbec,Masculul oii.
bezna,"Intuneric mare, de nepatruns."
bacon,"Preparat din carne de porc, obtinut prin sarare si afumare."
bafta,"Noroc, sansa."
bagaj,Totalitatea lucrurilor care se iau intr-o calatorie.
baiat,Copil de sex barbatesc.
balet,Dans artistic figurativ executat dupa o compozitie muzicala.
balta,Apa de ploaie adunata intr-o adancitura.
banal,"(Lucru, fenomen) lipsit de originalitate."
