word,definition
abanos,"Arbore exotic cu lemnul negru, greu si durabil."
abator,"Loc special amenajat unde se sacrifica animalele in vederea obtinerii carnii (si unde se prelucreaza carnea proaspata), sub control sanitar-veterinar."
aberatie,Abatere de la ceea ce este normal sau corect.
abil,"Destoinic, dibaci, iscusit, priceput, indemanatic."
abis,Prapastie adanca; hau.
abuz,Incalcare a legalitatii.
abur,Vapori de apa.
acru,"Care are gustul caracteristic al otetului, al lamaii."
acut,"Ascutit, puternic, patrunzator."
adaos,Ceea ce se adauga la ceva.
afectiv,"Care apartine afectivitatii, privitor la sentimente."
afta,"Basicuta plina cu lichid opalescent, care apare pe mucoasa gurii sau a faringelui."
agent,"Reprezentant (oficial) al unei institutii, al unei organizatii, al unui stat etc., care indeplineste anumite insarcinari."
ager,"Destept, iscusit, istet, priceput."
agrafa,Nume dat unor obiecte care servesc sa prinda sau sa fixeze ceva.
alun,"Arbust cu frunze rotunde, paroase pe dos, cu flori monoice, cele mascule sub forma de amenti, si cu fructe comestibile"
aluzie,"Cuvant, expresie, fraza prin care se face o referire la o persoana, la o situatie, la o idee, fara a o exprima direct."
amator,"(Persoana) careia ii place ceva, care are predilectie sau pasiune pentru ceva; (persoana) care este dispusa sa cumpere ceva."
amurg,Semiintuneric care se lasa dupa apusul Soarelui si tine pana la venirea noptii.
aport,Strigat cu care se indeamna un caine sa aduca vanatul impuscat sau un obiect aruncat.
arac,Par lung care serveste la sustinerea vitei-de-vie si a altor plante agatatoare.
arbore,"Nume generic pentru orice planta cu trunchi inalt si puternic, lemnos si cu mai multe ramuri cu frunze care formeaza o coroana."
arid,Uscat.
axila,"Subrat, subsuoara, sumana."
bec,"Balon din sticla (de obicei in forma de para, care se monteaza la lampile electrice) vidat sau umplut cu un gaz inert, avand in interior un filament care devine incandescent cand este strabatut de curent electric."
beat,"Care este in stare de ebrietate; baut, facut."
biban,"Peste rapitor de apa dulce, cu laturile corpului acoperite cu dungi negre transversale, cu carnea alba, gustoasa."
bidon,"Vas din tabla, material plastic etc. folosit pentru pastrarea sau transportul lichidelor."
bila,"Lichid vascos cu gust amar, secretat de ficat."
bilet,Scrisoare de cateva randuri.
bir,Tribut.
birt,Restaurant (mic si modest).
blat,"A calatori (sau a merge) pe blat sau a face blatul, se spune despre cineva care calatoreste fara bilet sau abonament intr-un mijloc de transport."
bloc,Cladire mare cu multe etaje.
blond,"(Despre par, ten) De culoare deschisa."
bleg,"Lipsit de energie, de vointa (si prost)."
boem,Persoana nonconformista (de obicei artist sau scriitor) care duce o viata dezordonata.
bogat,"Care dispune de multe mijloace materiale, care are multi bani."
boia,"Condiment de culoare rosie, obtinut din pisarea ardeiului iute uscat."
bona,Ingrijitoare angajata intr-o familie pentru a creste copiii (si a-i invata o limba straina).
bord,Fiecare dintre partile laterale ale puntii unei ambarcatiuni (mari).
bors,"Zeama acra preparata din tarate de grau, de secara sau de sfecla de zahar fermentate in apa."
bou,"Taur castrat, folosit ca animal de tractiune si mai ales pentru carne."
bovin,De bou; din familia sau din speta boului.
boxa,"Despartitura, compartiment de dimensiuni reduse in interiorul unui local, al unei incaperi, al unei case (pentru servicii auxiliare, depozitare etc.)."
brad,"Arbore din familia pinaceelor care creste in zona muntoasa, inalt pana la 50 m, cu tulpina dreapta, cu frunzele in forma de ace de culoare verde-inchis."
brant,"Bucata de piele, de carton sau de pluta care se aplica in interiorul incaltamintei, peste talpa propriu-zisa."
